match_id_muni,id_muni1980,id_muni1985,id_muni1990,id_muni1995,id_muni2000,id_muni2005,id_muni2010,id_muni2015,name_muni1980,name_muni1985,name_muni1990,name_muni1995,name_muni2000,name_muni2005,name_muni2010,name_muni2015,flag_merge_consol,flag_merge_incorp,flag_seirei,flag_city,flag_town,flag_change_zone,flag_change_name
1100,1100,1100,1100,1100,1100,1100,1100,1100,"Sapporo-shi, Hokkaido","Sapporo-shi, Hokkaido","Sapporo-shi, Hokkaido","Sapporo-shi, Hokkaido","Sapporo-shi, Hokkaido","Sapporo-shi, Hokkaido","Sapporo-shi, Hokkaido","Sapporo-shi, Hokkaido",0,0,0,0,0,0,0
1202,1202,1202,1202,1202,1202,1202,1202,1202,"Hakodate-shi, Hokkaido","Hakodate-shi, Hokkaido","Hakodate-shi, Hokkaido","Hakodate-shi, Hokkaido","Hakodate-shi, Hokkaido","Hakodate-shi, Hokkaido","Hakodate-shi, Hokkaido","Hakodate-shi, Hokkaido",0,1,0,0,0,0,0
1339,1339,1339,1339,1339,1339,1202,1202,1202,"Toi-cho, Hokkaido","Toi-cho, Hokkaido","Toi-cho, Hokkaido","Toi-cho, Hokkaido","Toi-cho, Hokkaido","Hakodate-shi, Hokkaido","Hakodate-shi, Hokkaido","Hakodate-shi, Hokkaido",0,1,0,0,0,0,0
1340,1340,1340,1340,1340,1340,1202,1202,1202,"Shirikishinai-cho, Hokkaido","Esan-cho, Hokkaido","Esan-cho, Hokkaido","Esan-cho, Hokkaido","Esan-cho, Hokkaido","Hakodate-shi, Hokkaido","Hakodate-shi, Hokkaido","Hakodate-shi, Hokkaido",0,1,0,0,0,0,1
1341,1341,1341,1341,1341,1341,1202,1202,1202,"Todohokke-mura, Hokkaido","Todohokke-mura, Hokkaido","Todohokke-mura, Hokkaido","Todohokke-mura, Hokkaido","Todohokke-mura, Hokkaido","Hakodate-shi, Hokkaido","Hakodate-shi, Hokkaido","Hakodate-shi, Hokkaido",0,1,0,0,0,0,0
1342,1342,1342,1342,1342,1342,1202,1202,1202,"Minamikayabe-cho, Hokkaido","Minamikayabe-cho, Hokkaido","Minamikayabe-cho, Hokkaido","Minamikayabe-cho, Hokkaido","Minamikayabe-cho, Hokkaido","Hakodate-shi, Hokkaido","Hakodate-shi, Hokkaido","Hakodate-shi, Hokkaido",0,1,0,0,0,0,0
1203,1203,1203,1203,1203,1203,1203,1203,1203,"Otaru-shi, Hokkaido","Otaru-shi, Hokkaido","Otaru-shi, Hokkaido","Otaru-shi, Hokkaido","Otaru-shi, Hokkaido","Otaru-shi, Hokkaido","Otaru-shi, Hokkaido","Otaru-shi, Hokkaido",0,0,0,0,0,0,0
1204,1204,1204,1204,1204,1204,1204,1204,1204,"Asahikawa-shi, Hokkaido","Asahikawa-shi, Hokkaido","Asahikawa-shi, Hokkaido","Asahikawa-shi, Hokkaido","Asahikawa-shi, Hokkaido","Asahikawa-shi, Hokkaido","Asahikawa-shi, Hokkaido","Asahikawa-shi, Hokkaido",0,0,0,0,0,0,0
1205,1205,1205,1205,1205,1205,1205,1205,1205,"Muroran-shi, Hokkaido","Muroran-shi, Hokkaido","Muroran-shi, Hokkaido","Muroran-shi, Hokkaido","Muroran-shi, Hokkaido","Muroran-shi, Hokkaido","Muroran-shi, Hokkaido","Muroran-shi, Hokkaido",0,0,0,0,0,0,0
1206,1206,1206,1206,1206,1206,1206,1206,1206,"Kushiro-shi, Hokkaido","Kushiro-shi, Hokkaido","Kushiro-shi, Hokkaido","Kushiro-shi, Hokkaido","Kushiro-shi, Hokkaido","Kushiro-shi, Hokkaido","Kushiro-shi, Hokkaido","Kushiro-shi, Hokkaido",1,0,0,0,0,0,0
1666,1666,1666,1666,1666,1666,1666,1206,1206,"Akan-cho, Hokkaido","Akan-cho, Hokkaido","Akan-cho, Hokkaido","Akan-cho, Hokkaido","Akan-cho, Hokkaido","Akan-cho, Hokkaido","Kushiro-shi, Hokkaido","Kushiro-shi, Hokkaido",1,0,0,0,0,0,0
1669,1669,1669,1669,1669,1669,1669,1206,1206,"Ombetsu-cho, Hokkaido","Ombetsu-cho, Hokkaido","Ombetsu-cho, Hokkaido","Ombetsu-cho, Hokkaido","Ombetsu-cho, Hokkaido","Ombetsu-cho, Hokkaido","Kushiro-shi, Hokkaido","Kushiro-shi, Hokkaido",1,0,0,0,0,0,0
1207,1207,1207,1207,1207,1207,1207,1207,1207,"Obihiro-shi, Hokkaido","Obihiro-shi, Hokkaido","Obihiro-shi, Hokkaido","Obihiro-shi, Hokkaido","Obihiro-shi, Hokkaido","Obihiro-shi, Hokkaido","Obihiro-shi, Hokkaido","Obihiro-shi, Hokkaido",0,0,0,0,0,0,0
1208,1208,1208,1208,1208,1208,1208,1208,1208,"Kitami-shi, Hokkaido","Kitami-shi, Hokkaido","Kitami-shi, Hokkaido","Kitami-shi, Hokkaido","Kitami-shi, Hokkaido","Kitami-shi, Hokkaido","Kitami-shi, Hokkaido","Kitami-shi, Hokkaido",1,0,0,0,0,0,0
1548,1548,1548,1548,1548,1548,1548,1208,1208,"Tanno-cho, Hokkaido","Tanno-cho, Hokkaido","Tanno-cho, Hokkaido","Tanno-cho, Hokkaido","Tanno-cho, Hokkaido","Tanno-cho, Hokkaido","Kitami-shi, Hokkaido","Kitami-shi, Hokkaido",1,0,0,0,0,0,0
1551,1551,1551,1551,1551,1551,1551,1208,1208,"Rubeshibe-cho, Hokkaido","Rubeshibe-cho, Hokkaido","Rubeshibe-cho, Hokkaido","Rubeshibe-cho, Hokkaido","Rubeshibe-cho, Hokkaido","Rubeshibe-cho, Hokkaido","Kitami-shi, Hokkaido","Kitami-shi, Hokkaido",1,0,0,0,0,0,0
1553,1553,1553,1553,1553,1553,1553,1208,1208,"Tokoro-cho, Hokkaido","Tokoro-cho, Hokkaido","Tokoro-cho, Hokkaido","Tokoro-cho, Hokkaido","Tokoro-cho, Hokkaido","Tokoro-cho, Hokkaido","Kitami-shi, Hokkaido","Kitami-shi, Hokkaido",1,0,0,0,0,0,0
1209,1209,1209,1209,1209,1209,1209,1209,1209,"Yubari-shi, Hokkaido","Yubari-shi, Hokkaido","Yubari-shi, Hokkaido","Yubari-shi, Hokkaido","Yubari-shi, Hokkaido","Yubari-shi, Hokkaido","Yubari-shi, Hokkaido","Yubari-shi, Hokkaido",0,0,0,0,0,0,0
1210,1210,1210,1210,1210,1210,1210,1210,1210,"Iwamizawa-shi, Hokkaido","Iwamizawa-shi, Hokkaido","Iwamizawa-shi, Hokkaido","Iwamizawa-shi, Hokkaido","Iwamizawa-shi, Hokkaido","Iwamizawa-shi, Hokkaido","Iwamizawa-shi, Hokkaido","Iwamizawa-shi, Hokkaido",0,1,0,0,0,0,0
1421,1421,1421,1421,1421,1421,1421,1210,1210,"Kita-mura, Hokkaido","Kita-mura, Hokkaido","Kita-mura, Hokkaido","Kita-mura, Hokkaido","Kita-mura, Hokkaido","Kita-mura, Hokkaido","Iwamizawa-shi, Hokkaido","Iwamizawa-shi, Hokkaido",0,1,0,0,0,0,0
1422,1422,1422,1422,1422,1422,1422,1210,1210,"Kurisawa-cho, Hokkaido","Kurisawa-cho, Hokkaido","Kurisawa-cho, Hokkaido","Kurisawa-cho, Hokkaido","Kurisawa-cho, Hokkaido","Kurisawa-cho, Hokkaido","Iwamizawa-shi, Hokkaido","Iwamizawa-shi, Hokkaido",0,1,0,0,0,0,0
1211,1211,1211,1211,1211,1211,1211,1211,1211,"Abashiri-shi, Hokkaido","Abashiri-shi, Hokkaido","Abashiri-shi, Hokkaido","Abashiri-shi, Hokkaido","Abashiri-shi, Hokkaido","Abashiri-shi, Hokkaido","Abashiri-shi, Hokkaido","Abashiri-shi, Hokkaido",0,0,0,0,0,0,0
1212,1212,1212,1212,1212,1212,1212,1212,1212,"Rumoi-shi, Hokkaido","Rumoi-shi, Hokkaido","Rumoi-shi, Hokkaido","Rumoi-shi, Hokkaido","Rumoi-shi, Hokkaido","Rumoi-shi, Hokkaido","Rumoi-shi, Hokkaido","Rumoi-shi, Hokkaido",0,0,0,0,0,0,0
1213,1213,1213,1213,1213,1213,1213,1213,1213,"Tomakomai-shi, Hokkaido","Tomakomai-shi, Hokkaido","Tomakomai-shi, Hokkaido","Tomakomai-shi, Hokkaido","Tomakomai-shi, Hokkaido","Tomakomai-shi, Hokkaido","Tomakomai-shi, Hokkaido","Tomakomai-shi, Hokkaido",0,0,0,0,0,0,0
1214,1214,1214,1214,1214,1214,1214,1214,1214,"Wakkanai-shi, Hokkaido","Wakkanai-shi, Hokkaido","Wakkanai-shi, Hokkaido","Wakkanai-shi, Hokkaido","Wakkanai-shi, Hokkaido","Wakkanai-shi, Hokkaido","Wakkanai-shi, Hokkaido","Wakkanai-shi, Hokkaido",0,0,0,0,0,0,0
